C0_CD4_CCR7_nam,C0_CD4_CCR7_pva,C0_CD4_CCR7_log,C1_CD8_GZMK_nam,C1_CD8_GZMK_pva,C1_CD8_GZMK_log,C2_CD4_FOXP3_nam,C2_CD4_FOXP3_pva,C2_CD4_FOXP3_log,C3_CD8_HAVCR2_nam,C3_CD8_HAVCR2_pva,C3_CD8_HAVCR2_log,C4_CD8_ZNF683_nam,C4_CD8_ZNF683_pva,C4_CD8_ZNF683_log,C5_CD4_CXCL13_nam,C5_CD4_CXCL13_pva,C5_CD4_CXCL13_log
EEF1A1,0,1.0390031,GZMK,0,5.3759937,FOXP3,7.57E-285,6.221476,GZMB,0,5.055154,ZNF683,0,5.0306473,CXCL13,0,6.358847
TPT1,0,1.1077698,CST7,0,2.9121175,IL32,7.72E-176,1.082695,NKG7,0,3.6354399,CTSW,1.59E-296,2.795005,GAPDH,2.00E-229,1.3537983
IL7R,0,2.8612137,GZMA,0,3.300256,CTLA4,1.31E-162,2.7354283,CCL5,0,3.4222329,XCL1,8.05E-252,5.0275865,TNFRSF18,5.06E-219,3.5233226
EEF1B2,0,1.494882,NKG7,0,2.9370382,TNFRSF4,1.53E-148,2.90274,HLA-DRB1,0,2.9799397,CD7,1.43E-241,2.0935054,TNFRSF4,1.87E-181,3.0635102
LTB,0,2.258733,CCL5,0,3.0189698,TNFRSF1B,5.69E-143,2.070975,CCL4,3.59E-291,3.6585913,HOPX,3.83E-202,3.2085817,NR3C1,1.02E-165,2.1269264
NACA,0,0.8880438,CCL4,4.04E-212,2.735236,SAT1,3.20E-138,1.8035856,CD8A,5.31E-276,3.074154,CD8A,3.41E-189,2.6319473,SRGN,1.03E-163,1.357682
PABPC1,0,1.1866114,GZMM,9.82E-179,1.850231,BATF,2.30E-131,2.2365372,CXCL13,3.80E-268,3.9732344,MATK,2.54E-165,2.9331596,DUSP4,9.23E-152,2.50983
EEF2,0,1.1780508,CD8A,2.72E-178,2.2070308,PIM2,4.17E-131,2.1827497,LAG3,3.83E-266,3.1886008,KLRD1,2.00E-155,3.2611947,PDCD1,8.35E-148,2.6390486
LDHB,0,1.4901499,CD74,3.40E-176,1.1500503,LTB,3.82E-125,1.6521236,CD8B,1.75E-244,2.869905,GNLY,3.19E-134,3.9778569,PKM,7.99E-137,1.7285051
SARAF,1.37E-300,1.0168513,HLA-C,3.02E-153,0.4451237,S100A4,1.20E-124,1.1148238,HLA-DPA1,1.94E-242,2.418766,ITM2C,1.01E-130,2.2152982,RBPJ,6.12E-113,2.0428448
FOS,9.75E-300,2.129475,CD8B,8.57E-120,1.8154005,TBC1D4,9.10E-110,2.961267,PTMS,3.29E-221,3.171386,CCL5,3.54E-124,2.2928352,TPI1,4.32E-105,1.4094709
FXYD5,2.16E-284,1.140916,ITM2C,1.28E-118,2.067144,CARD16,3.87E-109,1.8043739,GAPDH,3.47E-218,1.168788,CD8B,2.61E-122,2.0866325,TYMP,5.62E-105,2.057964
FAU,6.26E-274,0.5377075,TC2N,7.05E-113,1.5378057,IL2RA,1.21E-102,4.2297955,HLA-DRA,9.21E-214,3.0280905,NKG7,3.83E-113,2.061726,FKBP5,6.38E-97,2.0644863
UBA52,3.04E-235,0.692151,HLA-B,3.49E-106,0.37428838,TNFRSF18,6.77E-101,2.4823546,ALOX5AP,4.93E-211,2.1208925,CD63,5.95E-111,1.8607273,CD82,1.01E-93,1.7766255
JUNB,3.92E-223,1.2012978,CMC1,6.54E-104,2.2199113,TIGIT,2.32E-99,1.6875579,IFITM3,3.26E-205,2.0838974,CTSA,3.63E-102,1.8817608,PFN1,4.21E-83,0.5571078
ZFP36L2,8.15E-207,1.1247602,EOMES,6.70E-99,3.1179368,TMSB10,4.59E-92,0.49796903,MT2A,1.14E-204,2.1534667,HCST,2.14E-101,1.0609275,TIGIT,7.60E-79,1.6129563
DUSP1,1.62E-189,1.4074235,SAMD3,8.12E-97,2.0651243,GBP5,4.81E-92,1.6958302,ID2,1.93E-199,2.397422,STK17A,6.24E-78,1.1037183,CD2,6.09E-78,0.98014706
PFDN5,6.85E-188,0.71016383,HLA-A,4.25E-96,0.46761644,ARID5B,2.27E-77,1.7962317,HLA-DRB5,1.76E-193,2.4687955,AOAH,3.08E-76,2.415029,ITM2A,6.22E-77,1.4909393
CCR7,3.62E-180,2.4491158,HLA-DPB1,9.68E-94,1.312682,ISG20,1.42E-73,1.1320221,GZMA,5.35E-187,2.3981345,IFITM2,6.33E-75,0.9686942,PGAM1,7.52E-77,1.3539805
EEF1D,1.29E-164,0.596639,KLRG1,1.69E-92,2.51972,ICOS,8.78E-70,1.9134438,CTSW,5.84E-184,2.2028837,PTGDR,8.51E-69,2.8165908,CD4,4.50E-76,1.993832
NOSIP,2.47E-155,1.7524241,HCST,4.67E-92,0.79168147,RTKN2,5.19E-69,3.5997138,KRT86,6.88E-179,5.1275053,VIM,3.99E-68,0.80128795,BHLHE40,3.51E-74,2.006492
SLC2A3,7.26E-146,1.3406059,CXCR4,9.39E-87,1.1247985,IKZF2,2.86E-68,2.8560705,PTPRCAP,1.97E-177,1.8810737,MTRNR2L12,3.44E-67,1.141641,CTSB,7.53E-74,1.7309229
TOMM7,5.59E-143,0.70624924,SH2D1A,4.54E-85,1.4791888,B2M,2.73E-59,0.14845102,CD74,7.87E-176,1.3641281,LYAR,4.78E-62,1.7137219,SNX9,2.03E-70,2.197864
NPM1,1.83E-142,0.7605136,HLA-DRB1,1.23E-82,1.3372635,TYMP,2.74E-56,1.505224,GZMH,3.66E-174,3.2898948,CD52,4.39E-61,0.72212994,TOX,1.32E-68,2.018201
TCF7,6.13E-140,1.8957155,DUSP2,1.56E-80,1.1960351,DNPH1,6.24E-55,1.4164846,IFITM2,6.39E-174,1.4153888,EVL,5.08E-58,0.7782839,DNPH1,4.38E-68,1.5809041
AQP3,8.30E-138,2.0414286,HLA-E,4.41E-79,0.43441558,UCP2,8.62E-54,1.1274042,LY6E,1.71E-173,1.5831897,KLRC3,1.92E-54,4.292752,CD200,2.38E-64,3.7686899
CD40LG,2.23E-132,2.7691796,GIMAP7,2.50E-74,1.0364298,BIRC3,1.65E-51,1.4168823,ISG15,7.44E-172,2.3108592,ZFP36,4.02E-54,0.9407328,BST2,1.80E-62,1.2809985
EIF3E,4.43E-126,1.1148682,PLEK,1.18E-73,3.6593044,RGS1,3.54E-51,1.2645463,PRF1,2.45E-167,2.426501,HLA-C,1.05E-53,0.32517374,TOX2,5.85E-62,3.063837
BTF3,7.76E-122,0.6083247,PTPRC,1.12E-71,0.5537885,GAPDH,3.13E-50,0.55438215,HLA-DPB1,8.93E-160,1.9378649,CXCR3,1.25E-53,1.1518468,LY6E,6.68E-62,1.1112466
FLT3LG,4.53E-120,1.5461411,HLA-DPA1,4.90E-71,1.1620351,IFI6,1.51E-49,1.3841928,SH3BGRL3,3.60E-159,0.7864099,XCL2,3.23E-52,2.7503452,RAC1,1.95E-60,1.3182167
EIF1,1.11E-115,0.40611213,HLA-DRB5,3.89E-70,1.370781,COX5A,3.85E-49,1.0325214,CCL3,1.81E-156,4.3613343,GLIPR2,1.50E-50,1.4404399,PTMS,8.38E-57,1.7713494
FTH1,5.42E-112,0.44466147,CTSW,4.16E-62,1.1219921,GBP2,4.58E-49,1.4045045,IFNG,2.76E-143,3.2329323,PARP8,4.61E-50,1.2612652,CTLA4,1.95E-56,1.5944949
TSC22D3,6.81E-112,0.9905301,LYAR,1.10E-59,1.5010065,ISG15,1.16E-46,1.3154384,COTL1,1.82E-139,1.3963754,STOM,3.16E-47,1.3305832,GNG5,3.53E-53,1.0314262
ANXA1,2.35E-110,1.3347343,GIMAP4,2.39E-55,0.8561496,SPOCK2,4.67E-45,0.8534205,HLA-DQA1,4.58E-135,2.8697176,S100A6,7.24E-47,0.67824465,MYL6,1.35E-52,0.5688678
MAL,8.17E-110,2.3327744,AOAH,2.24E-54,2.0708473,DUSP4,4.14E-44,1.3805577,IFI6,8.22E-125,2.03612,CTSD,1.17E-45,1.0503641,ZFP36L1,2.85E-50,0.9082999
EIF3L,1.92E-105,1.0796694,COTL1,4.86E-51,0.713767,NCF4,3.85E-43,1.8298014,MX1,4.83E-123,2.0494707,CD99,9.45E-45,0.7474102,MAF,1.74E-49,1.9633479
EIF4B,6.91E-105,1.0283989,STK17A,7.34E-50,0.6855467,EPSTI1,3.67E-42,1.4416248,PDCD1,1.65E-120,2.2049305,TAGLN2,1.91E-44,0.9099946,PTPN7,9.56E-48,1.1584704
SELL,4.17E-97,1.4845315,ITGB2,8.13E-45,0.6566963,CD27,9.83E-42,0.85435563,RBPJ,1.14E-118,2.0022955,CYBA,4.89E-44,0.70095146,SH2D2A,1.02E-46,1.2316563
PTMA,8.29E-97,0.33323926,DNAJB1,2.62E-43,0.84655726,MX1,7.67E-41,1.2769493,GNLY,5.58E-117,3.1187177,PDCD4,9.54E-43,1.0334318,ACTB,3.67E-45,0.3719962
S1PR1,7.12E-91,2.4086685,FYN,8.70E-40,0.8106423,STAM,1.61E-40,2.0119658,FASLG,3.18E-115,2.826333,TMSB4X,5.59E-41,0.25307798,S100A11,4.29E-45,0.92068744
HNRNPA1,4.69E-88,0.49382594,CCL4L2,6.29E-39,1.6729254,GLRX,4.75E-40,1.3714342,HAVCR2,9.66E-113,3.5290825,CKLF,1.87E-40,1.1548086,RNF19A,5.16E-44,1.3192405
EIF3F,9.88E-88,0.7808537,APOBEC3G,7.45E-39,0.9192082,SOD1,1.77E-39,0.68970215,ITGAE,4.91E-112,2.3865328,DHRS7,7.41E-39,1.024446,BTLA,1.93E-43,2.8226678
SLC25A6,2.70E-85,0.68593746,NFATC2,5.25E-38,0.97682226,CORO1B,1.85E-38,0.9154694,IKZF3,2.49E-111,1.7546616,CLEC2B,9.07E-39,1.0422622,ENTPD1,4.52E-43,2.3971882
COX4I1,3.99E-85,0.50511414,B2M,2.49E-37,0.1516495,STAT1,2.45E-38,1.068866,IFI44L,7.11E-111,2.3073199,HLA-B,9.23E-38,0.26605263,PTTG1,1.31E-42,1.6258461
