p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Klrd1	2.94048051570065e-75	1.45942553495986	0.776	0.491	4.87120002230969e-71
Tnfrsf9	3.58810873345173e-59	1.36863551680441	0.702	0.388	5.94406092783613e-55
Hspa1a	1.73317191566752e-58	-1.64460733977686	0.178	0.492	2.87117259549482e-54
Ifi27l2a	6.73389293982387e-57	-0.984813481857075	0.922	0.981	1.11553670441122e-52
Klf2	1.65891112459962e-49	-1.382206946367	0.729	0.89	2.74815216901173e-45
Klf6	3.71192174611018e-47	-0.839073915210077	0.818	0.918	6.14916956460612e-43
Slc25a3	2.47258625460622e-46	0.630602788694331	0.921	0.85	4.09608638938066e-42
Serpinb9	2.50323113187933e-46	1.3080251544613	0.696	0.462	4.14685269307129e-42
Irf8	1.89687281043487e-45	1.85452627934786	0.576	0.314	3.14235949776641e-41
Cd69	7.4426423744365e-42	-0.899546488329446	0.665	0.863	1.23294813574915e-37
Gzmk	1.02919926818289e-40	-0.744419250103743	0.121	0.36	1.70497150767178e-36
Ifi203	2.88783478576295e-40	-0.630138996053442	0.717	0.886	4.7839871060949e-36
Dusp1	6.59082338938826e-40	-1.14923544903213	0.629	0.801	1.09183580268606e-35
Sh2d1a	8.81666335585063e-40	-0.877961298361722	0.32	0.562	1.46056845153022e-35
S100a9	2.372299666121e-39	-1.22756841031328	0.152	0.396	3.92995162689605e-35
Zfp36	4.06858135174124e-38	-1.07767818879613	0.604	0.79	6.74001186729454e-34
Hspa1b	4.34651236357796e-38	-1.68241088222404	0.125	0.342	7.20043238150325e-34
Klre1	4.90092622626681e-38	0.849439975486921	0.573	0.263	8.1188743864336e-34
Stat3	9.8618568837741e-38	0.827999919467256	0.787	0.645	1.63371521136602e-33
Ifit3	1.34632662895275e-37	-0.95867009992655	0.408	0.667	2.23032469352313e-33
Gzmf	1.62366329682883e-36	3.84602273730022	0.241	0.016	2.68976061752664e-32
Vim	6.59025493846961e-36	0.685297014467138	0.931	0.869	1.09174163310688e-31
Cxcl2	8.90603446554569e-36	-1.11635092380159	0.449	0.666	1.4753736695623e-31
Zfp36l2	9.1931262159668e-36	-0.827624238529429	0.851	0.935	1.52293328893706e-31
Il2rb	9.67221854554497e-36	0.569612468275614	0.922	0.855	1.60229972425498e-31
Rtp4	4.50540398225626e-35	-0.738269495184554	0.582	0.781	7.46365223700572e-31
Fos	2.25161541307892e-34	-0.800386935963055	0.338	0.595	3.73002609330654e-30
Il21r	2.42672189250441e-34	0.733941315287092	0.634	0.382	4.02010748712281e-30
Rgs1	3.31481474707548e-34	-0.832603332736154	0.906	0.961	5.49132211000523e-30
Jun	2.12528671310095e-33	-1.06303784521845	0.615	0.789	3.52074996892303e-29
Stk17b	4.70221240525449e-33	-0.535648325274558	0.915	0.954	7.78968507054458e-29
S100a8	8.48308220938076e-31	-1.00705824957184	0.082	0.257	1.40530739880602e-26
Tmsb10	2.36469917506277e-30	-0.39614128600248	0.997	0.997	3.91736065340899e-26
Nrgn	8.90504440341322e-30	1.01305272459115	0.276	0.062	1.47520965586943e-25
Slfn2	1.1296605690596e-29	-0.611063857760125	0.762	0.888	1.87139569870413e-25
Crem	2.57322665367724e-29	0.676749546034794	0.827	0.659	4.26280727448172e-25
AA467197	2.86654904682744e-29	1.04650722316377	0.481	0.243	4.74872515097434e-25
Ifi209	3.2354704155169e-29	-0.773537164074273	0.56	0.738	5.3598802903453e-25
Nr4a3	1.16406602328369e-28	0.725898525109523	0.597	0.338	1.92839177417176e-24
Myo10	2.48164513434401e-28	0.646387237674988	0.218	0.027	4.11109332955429e-24
Rack1	2.63607229861933e-28	0.312574880718469	0.994	0.979	4.36691736989278e-24
Btg1	3.74054309476856e-28	-0.464265823398944	0.997	1	6.1965836907936e-24
Xaf1	6.10156282991633e-28	-0.657574724923077	0.588	0.748	1.01078489840394e-23
Kdm2b	7.36035173912036e-28	0.667724726180805	0.647	0.415	1.21931586910268e-23
Ifi208	1.10270018776339e-27	-0.663391585132915	0.296	0.516	1.82673313104883e-23
Usp18	4.98992007263816e-27	-0.757551961991213	0.3	0.502	8.26630159233237e-23
Slfn1	7.48106331430409e-27	-0.762987305169829	0.462	0.662	1.23931294864762e-22
Cxcr4	1.7915345779739e-26	-0.857906090011834	0.496	0.696	2.96785618187156e-22
Ifit1bl1	4.23303329640479e-26	-0.711772377611631	0.162	0.355	7.01244295882418e-22
Tgfb1	6.72347182445351e-26	0.652272672523471	0.747	0.614	1.11381034243897e-21
Tpm4	1.10632987370192e-25	0.504090440236578	0.804	0.614	1.83274606877459e-21
Dgat1	1.17559849347188e-25	0.664372890033676	0.61	0.379	1.94749646428552e-21
Eef1b2	1.30040294407977e-25	0.344852963348554	0.975	0.953	2.15424751716255e-21
Igkc	1.52348014062929e-25	-1.03464321251164	0.081	0.227	2.52379720096647e-21
Nfkbia	1.81740984042871e-25	-0.757165426366445	0.938	0.953	3.01072114165421e-21
Gm36723	2.25307347845524e-25	0.632569846265927	0.301	0.093	3.73244152440896e-21
Anxa2	3.03293181625902e-25	0.614391316368137	0.841	0.785	5.0243548468147e-21
Serpinb6b	1.15079970113676e-24	0.772602988368986	0.666	0.486	1.90641478490315e-20
Mndal	1.4859437429707e-24	-0.468455219392612	0.79	0.861	2.46161440460527e-20
Ifi214	1.70583807072657e-24	-0.733092366440801	0.285	0.484	2.82589134796563e-20
Ccl2	1.89998745142351e-24	-0.809489798519982	0.409	0.593	3.14751921202818e-20
