avg.exp	pct.exp	features.plot	id	avg.exp.scaled
Tox	1.40329799019911	27.4074074074074	Tox	0	0.443291472574642
Tigit	0.0514288946150857	1.97530864197531	Tigit	0	0.243208258383416
Ctla4	3.0988469355893	43.9506172839506	Ctla4	0	0.306298265783593
Pdcd1	3.06954888909033	35.9259259259259	Pdcd1	0	-0.0958323351729929
Havcr2	0.260105572541919	8.51851851851852	Havcr2	0	-0.451106322385921
Entpd1	0.542738135329226	16.2962962962963	Entpd1	0	0.180717864069383
Mki67	0.198121984845775	6.66666666666667	Mki67	0	-0.502005260649206
Gzmb	24.3136664979683	67.1604938271605	Gzmb	0	-0.777676889914813
Gzma	11.0013988892979	28.1481481481481	Gzma	0	1.42365400720441
Gzmk	3.10549059626024	40.1234567901235	Gzmk	0	1.46618254340366
Zfp683	0.0160252372724534	0.617283950617284	Zfp683	0	-0.729572672847671
Cx3cr1	0.189094613814204	3.95061728395062	Cx3cr1	0	-0.407358544413966
Tbx21	0.492849812095053	14.5679012345679	Tbx21	0	-1.12485112966063
Klrg1	0.330858153602803	8.88888888888889	Klrg1	0	1.39769136158529
Ifng	5.42373986703088	48.0246913580247	Ifng	0	-0.31734455471359
Klrb1c	0.134763937017755	1.85185185185185	Klrb1c	0	-0.62450592887323
Nkg7	30.5677261805851	80.7407407407407	Nkg7	0	-0.340298628189065
Runx3	4.03970334144896	62.4691358024691	Runx3	0	-1.11975639827054
Cd27	1.59081450845614	32.962962962963	Cd27	0	-0.308074548209204
Il7r	3.02197865853394	29.0123456790123	Il7r	0	0.937734021023506
Ccr7	1.34108009491923	12.2222222222222	Ccr7	0	-0.533045615551047
Sell	0.215805730979469	5.67901234567901	Sell	0	-0.69232730353994
Tcf7	1.76819322677209	30.6172839506173	Tcf7	0	0.338392710191344
Cd69	16.75420600881	78.0246913580247	Cd69	0	1.00298862956154
Itgae	0.0716032026994031	2.09876543209877	Itgae	0	-0.442762511833016
Tox1	1.6831782731549	55.1829268292683	Tox	1	0.988377176341472
Tigit1	0.0740555898501814	4.57317073170732	Tigit	1	1.30873352287944
Ctla41	4.58978122851372	77.2865853658537	Ctla4	1	1.16860898612841
Pdcd11	6.27238120023726	85.8231707317073	Pdcd1	1	1.34123614417193
Havcr21	1.36391154503946	44.2073170731707	Havcr2	1	1.46423337019995
Entpd11	0.914385736101622	43.5975609756098	Entpd1	1	1.27042814023912
Mki671	0.197102418897034	11.4329268292683	Mki67	1	-0.502309025012546
Gzmb1	28.8741092448685	87.9573170731707	Gzmb	1	1.01855083719762
Gzma1	0.909736339202021	23.6280487804878	Gzma	1	-0.710061296438
Gzmk1	0.282021800360126	10.3658536585366	Gzmk	1	-0.549584878269224
Zfp6831	0.0638221091072722	3.50609756097561	Zfp683	1	1.46397228492186
Cx3cr11	0.685127498310144	26.9817073170732	Cx3cr1	1	1.41809923912149
Tbx211	1.28741170751997	52.4390243902439	Tbx21	1	1.2991662703749
Klrg11	0.0293322322863819	1.3719512195122	Klrg1	1	-0.656768698412938
Ifng1	12.9503806100987	83.0792682926829	Ifng	1	1.47872570007883
Klrb1c1	0.127367050492234	6.25	Klrb1c	1	-0.634365388162833
Nkg71	52.7738625492612	99.2378048780488	Nkg7	1	1.48857483570425
Runx31	5.11521574374731	88.2621951219512	Runx3	1	0.161831666997829
Cd271	2.32041957450512	67.0731707317073	Cd27	1	1.3601588928837
Il7r1	2.85187587149545	59.2987804878049	Il7r	1	0.755512099595204
Ccr71	4.15762724864551	23.6280487804878	Ccr7	1	1.49452259748402
Sell1	0.160317626417972	8.07926829268293	Sell	1	-0.768156264203919
Tcf71	0.156462316186151	7.31707317073171	Tcf7	1	-1.17373180208375
Cd691	2.33598811398121	45.1219512195122	Cd69	1	-1.13989775245018
Itgae1	0.0338913461594864	1.67682926829268	Itgae	1	-0.997464819632882
Tox2	0.483032574667602	20.0339558573854	Tox	2	-1.34898741316774
Tigit2	0.0321030899121571	1.35823429541596	Tigit	2	-0.66687308375384
Ctla42	0.471463952945986	14.7707979626486	Ctla4	2	-1.21329956165715
Pdcd12	0.878373231899766	17.1477079796265	Pdcd1	2	-1.07898385974621
Havcr22	0.0760475785196171	3.56536502546689	Havcr2	2	-0.770486349738901
Entpd12	0.101460213284803	4.92359932088285	Entpd1	2	-1.11315591662838
Mki672	0.219356661027087	7.64006791171477	Mki67	2	-0.49567870776764
Gzmb2	28.0517800925412	86.4176570458404	Gzmb	2	0.694658946387842
Gzma2	4.12914355833604	27.5042444821732	Gzma	2	-0.0293708335907393
Gzmk2	0.0552730097069425	1.69779286926995	Gzmk	2	-0.711468312492445
Zfp6832	0.0203131799574215	0.67911714770798	Zfp683	2	-0.532785839426392
Cx3cr12	0.0550928986584729	2.37691001697793	Cx3cr1	2	-0.900500192042234
Tbx212	0.791735512228881	24.4482173174873	Tbx21	2	-0.213022684428235
Klrg12	0.0107830979480838	0.67911714770798	Klrg1	2	-0.783154036957628
Ifng2	3.74055113501477	43.1239388794567	Ifng	2	-0.719001192511831
Klrb1c2	1.70659816637297	35.9932088285229	Klrb1c	2	1.47062362879434
Nkg72	28.5462436052195	97.6230899830221	Nkg7	2	-0.506785754919664
Runx32	6.04775228730619	85.2292020373514	Runx3	2	1.27304870373095
Cd272	1.71451524487792	46.3497453310696	Cd27	2	-0.0252342627049739
Il7r2	1.58141474734182	29.2020373514431	Il7r	2	-0.605464232267359
Ccr72	1.27467048049838	19.3548387096774	Ccr7	2	-0.580852386000986
Sell2	1.73776441699145	44.4821731748727	Sell	2	1.38755173081952
Tcf72	2.66406791729222	60.7809847198642	Tcf7	2	1.17890155106842
Cd692	14.4047686379001	85.5687606112054	Cd69	2	0.653806963405837
Itgae2	0.192898229504976	5.43293718166384	Itgae	2	1.34136156655812
Tox3	1.13323148613346	50.8361204013378	Tox	3	-0.0826812357483754
Tigit3	0.0274696515333795	2.67558528428094	Tigit	3	-0.885068697509019
Ctla43	2.11693815835042	53.5117056856187	Ctla4	3	-0.261607690254852
Pdcd13	2.91222841731684	57.190635451505	Pdcd1	3	-0.166419949252732
Havcr23	0.380243844653863	23.4113712374582	Havcr2	3	-0.242640698075123
Entpd13	0.365831878698459	27.4247491638796	Entpd1	3	-0.337990087680118
Mki673	6.91770300103891	96.3210702341137	Mki67	3	1.49999299342939
Gzmb3	23.9128858750457	91.9732441471572	Gzmb	3	-0.935532893670652
Gzma3	1.03194697303904	26.0869565217391	Gzma	3	-0.68422187717567
Gzmk3	0.764497813082235	16.7224080267559	Gzmk	3	-0.205129352641993
Zfp6833	0.0275293479119566	3.34448160535117	Zfp683	3	-0.201613772647799
Cx3cr13	0.269830701284243	17.056856187291	Cx3cr1	3	-0.110240502665287
Tbx213	0.874249460852136	51.1705685618729	Tbx21	3	0.0387075437139579
Klrg13	0.131922029417795	6.35451505016722	Klrg1	3	0.0422313737852715
Ifng3	4.89976452728359	67.5585284280936	Ifng	3	-0.442379952853406
Klrb1c3	0.444425103935627	21.4046822742475	Klrb1c	3	-0.211752311758275
Nkg73	26.9106624974246	99.3311036789298	Nkg7	3	-0.641490452595522
Runx33	4.71495319489646	93.9799331103679	Runx3	3	-0.315123972458236
Cd273	1.27645666268606	63.8795986622074	Cd27	3	-1.02685008196952
Il7r3	1.13117485910731	38.4615384615385	Il7r	3	-1.08778188835135
Ccr73	1.55281205353654	29.4314381270903	Ccr7	3	-0.380624595931985
