C0_CD4_CCR7_nam,C0_CD4_CCR7_pva,C0_CD4_CCR7_log,C1_CD4_FOXP3_nam,C1_CD4_FOXP3_pva,C1_CD4_FOXP3_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C3_CD4_EZH2_nam,C3_CD4_EZH2_pva,C3_CD4_EZH2_log,C4_CD8_ZNF683_nam,C4_CD8_ZNF683_pva,C4_CD8_ZNF683_log,C5_CD4_CXCL13_nam,C5_CD4_CXCL13_pva,C5_CD4_CXCL13_log,C6_CD8_HAVCR2_nam,C6_CD8_HAVCR2_pva,C6_CD8_HAVCR2_log,C8_CD4_RORA_nam,C8_CD4_RORA_pva,C8_CD4_RORA_log
IL7R,1.26E-236,2.8892305,TNFRSF4,1.12E-200,3.95298,GZMK,0,7.3212347,HSP90AA1,2.67E-127,1.9424998,CCL5,3.92E-118,4.380122,CXCL13,2.32E-90,6.911389,GZMB,4.02E-129,6.1426907,GZMB,4.96E-48,4.7149057
EEF1A1,2.68E-149,0.6706766,TNFRSF18,9.26E-192,3.4957225,NKG7,2.59E-276,4.5777917,CRIP1,2.32E-86,2.1344745,KLRD1,2.94E-99,4.776881,SRGN,1.24E-80,1.7294738,GZMH,1.31E-105,5.430883,CKLF,9.47E-46,2.6643934
TPT1,4.72E-141,0.68519646,BATF,1.16E-180,2.880381,CST7,1.49E-263,3.6234896,FAM118A,3.74E-83,3.3271866,CD7,3.27E-85,2.8457785,FKBP5,8.14E-78,3.4289443,NKG7,1.15E-100,4.6598625,CAPG,1.50E-37,3.4591498
TXNIP,1.02E-124,1.5291728,IL32,2.35E-154,1.2434433,CCL5,2.33E-228,4.092006,HSPA1A,9.79E-69,2.345691,TMSB4X,5.70E-68,0.6169811,NR3C1,3.24E-68,3.133512,CD8A,7.89E-91,4.247871,SH3BGRL3,1.32E-31,1.3887006
TSC22D3,1.00E-90,1.0204787,LTB,6.75E-151,2.2894008,CCL4,7.45E-196,4.096391,HSPH1,6.85E-66,2.678178,HOPX,7.39E-66,3.6020355,ITM2A,2.51E-51,2.4150507,CTSW,1.46E-85,3.980822,GZMA,7.44E-31,3.064319
UBA52,3.64E-77,0.4589742,SAT1,4.44E-116,1.8697835,GZMA,3.89E-153,2.9852552,DNAJB1,3.25E-65,1.9464972,GZMA,7.64E-65,3.260154,SLA,6.23E-43,2.0914726,APOBEC3G,1.11E-81,3.3568377,S100A4,2.36E-28,1.6900562
EEF1B2,4.21E-70,0.8228435,IL2RA,1.74E-112,4.2475243,DUSP2,9.40E-135,3.1391358,ENTPD1,5.18E-64,2.4663808,ID2,6.62E-53,2.2424636,ICA1,3.07E-39,3.4943762,CCL5,4.81E-80,4.044736,ALOX5AP,2.48E-23,2.1933615
BTG1,1.68E-68,0.62265354,BIRC3,1.44E-111,2.0741987,CXCR4,5.39E-108,1.3583448,HSPA1B,1.25E-62,2.196069,NKG7,8.48E-53,3.0814974,NFKBIA,6.70E-39,1.8700739,HLA-DRB1,1.74E-78,3.3562481,LGALS3,5.57E-23,2.3428729
FOS,2.01E-64,1.2842079,FOXP3,1.53E-110,5.3036513,HCST,5.05E-104,1.4728562,TNFAIP3,1.84E-61,1.814548,CD63,1.70E-46,2.1883678,EEF1A1,6.90E-39,0.7271407,LAG3,1.56E-73,4.1391344,ANKRD28,5.74E-23,2.7961686
ANXA1,2.54E-62,1.6127399,PMAIP1,8.28E-108,2.63675,CMC1,5.64E-94,3.655949,ARPC2,3.54E-61,1.126856,HCST,5.16E-38,1.3727354,IL6ST,2.29E-38,3.6368873,HLA-DRA,5.31E-73,3.439828,VIM,7.12E-23,1.5917
CD69,5.34E-62,1.1549798,TIGIT,3.59E-101,2.1670685,GZMM,9.00E-78,2.1991293,HSP90AB1,3.09E-60,1.462855,CD8A,8.22E-38,2.7544224,TMEM243,3.04E-37,2.6756544,PRF1,1.45E-70,3.6368494,CD3D,7.14E-23,1.171321
TOMM7,6.54E-62,0.67745954,CARD16,3.48E-95,1.9497823,HLA-C,2.65E-77,0.61779815,IFNG,6.19E-60,3.1673787,CD160,4.42E-37,6.572974,BTLA,1.81E-36,3.9628756,HLA-DPA1,6.31E-70,2.9985611,ACTB,2.23E-22,0.8367026
CD40LG,3.78E-61,2.5317972,S100A4,9.86E-91,1.2795013,CD8A,1.47E-76,2.738211,ANKRD28,1.85E-59,2.3536494,CCL4,1.36E-36,2.8161683,TOX2,1.46E-34,4.0553517,CCL3,2.44E-67,4.912696,TMIGD2,2.52E-21,3.7048268
CXCR4,6.67E-59,0.90712607,RGS1,4.96E-70,1.3932573,LYAR,6.20E-75,3.094289,DEK,8.07E-59,1.7606128,GZMB,2.85E-33,2.6551325,CORO1B,1.59E-28,1.9942244,CCL4,4.99E-67,3.990011,GAPDH,3.63E-20,1.0487994
JUNB,2.04E-54,1.0139158,UGP2,1.58E-69,1.8087554,KLRG1,3.17E-71,3.4919252,ZFP36L1,8.00E-49,1.6332825,CD52,2.93E-33,1.0794064,HLA-A,2.31E-26,0.7339229,HLA-DPB1,2.90E-65,2.8013546,ID2,6.49E-19,2.0472078
PFDN5,3.83E-54,0.56702006,DUSP4,2.54E-69,2.075697,GIMAP4,6.40E-69,1.908953,HSPD1,1.25E-46,1.9227911,JCHAIN,1.39E-29,2.6006973,LIMS1,4.81E-26,2.2241426,CXCL13,5.24E-63,4.73654,HLA-B,1.29E-18,0.8645451
FAU,1.68E-53,0.32090136,DNPH1,1.02E-67,1.8307192,CTSW,4.55E-68,2.3193502,HMGB2,2.25E-46,1.7388903,CD8B,1.99E-29,2.671628,PASK,6.19E-25,3.2184136,GNLY,7.97E-63,5.3525047,ANXA2,2.81E-18,2.0173676
PABPC1,1.54E-52,0.7254717,TBC1D4,1.79E-63,2.5112422,GIMAP7,1.29E-57,1.7300344,CREM,6.71E-41,1.7019912,ITGA1,2.01E-28,3.1221678,SESN1,1.87E-23,3.125087,GZMA,6.10E-62,3.2183733,RGS1,3.11E-18,1.7617629
KLRB1,2.40E-47,1.4761233,SPOCK2,7.83E-63,1.4265465,ZFP36L2,2.14E-56,1.2298913,JUND,1.41E-40,1.6206673,CTSW,3.58E-26,2.1380444,COTL1,7.90E-23,1.5343251,CD63,2.59E-57,2.6057117,CTSH,3.32E-18,3.0486984
ITM2B,2.52E-42,0.55170953,HLA-A,6.51E-61,0.55323195,APOBEC3G,6.60E-50,1.7022547,TPM4,1.76E-38,1.6772145,IL32,3.87E-25,0.9502497,TIGIT,9.52E-23,1.7917587,HAVCR2,2.86E-52,4.0671296,S100A11,1.15E-17,1.597648
SARAF,3.71E-42,0.60385627,CORO1B,4.12E-58,1.6000996,CD8B,3.38E-48,2.4800339,STMN1,8.14E-38,3.0470974,XCL2,7.42E-25,3.8988008,C9orf16,3.47E-22,1.4225031,CD74,1.28E-51,2.052945,S100A6,2.52E-17,1.0900046
FXYD5,8.35E-40,0.82968146,TNFRSF1B,6.77E-57,1.7941774,ITGB2,7.15E-48,1.4377892,RAB11FIP1,4.04E-37,2.2360146,CD69,1.57E-24,1.3805887,SMCO4,2.46E-21,3.4872332,CD8B,3.51E-51,3.1511526,CD2,4.66E-17,1.2222089
NACA,4.05E-39,0.41603383,PIM2,2.04E-55,2.2162323,TXNIP,7.93E-48,1.0922426,ARGLU1,2.89E-36,1.3377187,EVL,5.76E-23,1.063453,PDCD1,3.83E-21,2.4609628,ITM2C,1.10E-47,3.0135374,PERP,3.04E-16,2.6435037
GPR183,5.35E-38,1.5597355,CD27,2.48E-54,1.4587768,BTG1,4.99E-46,0.6090183,ATF3,5.37E-36,3.355586,ALOX5AP,1.73E-22,1.4810687,CCNI,1.97E-20,1.1437,SH3BGRL3,2.87E-47,1.2734219,DDIT4,6.96E-16,1.7883754
CD52,2.64E-37,0.58370036,CTLA4,1.58E-52,2.643417,CD74,1.84E-44,1.0477827,DNAJA1,2.40E-35,1.5172436,ZFP36,4.59E-22,1.3299562,HNRNPA1,4.37E-20,0.7733277,LY6E,9.37E-44,2.1037698,MYL6,3.74E-15,0.83236086
EIF3E,5.26E-36,0.6808515,RTKN2,4.87E-52,3.683818,ITM2C,8.95E-43,2.1001892,RGS2,9.26E-35,1.7971334,ACTB,5.94E-22,0.53882414,GNG4,7.96E-20,6.3229814,CCL4L2,4.67E-42,3.5264986,DRAP1,1.07E-14,1.6716757
ZFP36L2,1.30E-35,0.86388755,LAIR2,1.30E-50,3.6210895,CCL4L2,2.45E-41,2.5229342,GNLY,1.05E-34,2.5811265,CD96,1.71E-21,1.6952065,CCND3,1.34E-19,1.593584,KLRD1,7.43E-42,3.1801972,CD63,1.17E-14,1.7996047
CD48,3.16E-35,0.85998964,UCP2,2.05E-49,1.3660581,HLA-A,2.53E-41,0.5085769,RBPJ,1.12E-34,1.4131885,PRF1,2.40E-20,1.9862334,CD40LG,1.86E-19,2.1749284,PTMS,1.53E-40,3.5248606,TPI1,1.75E-14,1.5936575
DDIT4,2.51E-31,0.9782278,PBXIP1,9.22E-49,1.5206661,B2M,2.28E-39,0.22116254,PAG1,1.91E-34,2.0043242,JAML,5.18E-20,1.9679431,CPM,5.46E-19,4.563722,HLA-DQA1,2.88E-39,3.0739532,OSTF1,3.26E-14,1.8198411
EEF2,1.03E-29,0.4586072,GBP2,9.62E-49,1.6440219,HLA-DPB1,1.07E-38,1.3222597,TLN1,5.64E-34,1.6680725,ABI3,6.23E-19,2.153888,PPP1CC,1.02E-18,1.8034571,RBPJ,6.41E-39,2.2375631,ENO1,4.55E-14,1.4646055
FKBP11,1.67E-29,1.6060725,ARID5B,2.01E-45,1.6209822,FAU,2.84E-38,0.4268717,NR4A2,3.83E-33,1.8679487,CCL4L2,1.03E-17,2.5346596,ISCU,6.41E-18,1.3718406,CHST12,7.04E-39,2.6083095,TMSB4X,5.83E-14,0.39478296
EEF1D,7.27E-29,0.3132777,CD7,4.03E-43,1.1703115,HLA-E,7.49E-32,0.5433348,HMGB1,1.15E-32,0.827299,GPR171,4.65E-17,1.6249683,NAP1L4,1.30E-17,1.6446673,GAPDH,2.63E-38,1.1214377,ABI3,7.80E-14,2.237445
GPR171,5.26E-28,1.3566891,ICA1,9.34E-42,2.5838528,PTP4A2,2.35E-28,1.1147563,NCL,1.24E-32,1.2368841,TMIGD2,6.84E-17,3.0692942,YWHAQ,2.89E-17,1.4291918,KLRC2,1.24E-35,4.816898,CD3G,1.24E-13,1.5373968
LDHB,8.89E-25,0.6247087,PKM,8.77E-41,1.1402929,PPP2R5C,5.20E-28,0.9703951,ID2,1.69E-32,1.3024794,CAPG,6.17E-16,1.7801485,CIRBP,8.46E-17,1.1075082,NDFIP2,4.19E-35,2.7961514,PGK1,1.51E-13,1.5793118
NFKBIA,4.12E-24,0.7209717,SOD1,1.12E-40,0.9520988,EOMES,1.95E-27,3.8653834,MT2A,5.66E-32,1.3363496,LGALS1,7.57E-16,1.3650367,NAP1L1,3.83E-16,0.9685013,CTSD,3.29E-34,2.0194643,CIB1,2.68E-13,1.5206184
S100A10,1.78E-22,0.55391234,CTSC,6.26E-39,1.241743,CRTAM,1.08E-26,3.6004553,HSPE1,2.10E-30,1.242121,KLRB1,1.38E-15,1.518037,TOX,7.31E-16,2.4383497,IFI6,1.97E-33,2.3984113,LDHA,3.11E-13,1.4755505
COX7C,1.26E-21,0.32165965,ICOS,3.88E-38,1.8817189,CYBA,6.18E-25,0.5033609,YWHAZ,3.61E-30,1.1616213,CKLF,4.81E-15,1.0273905,EEF1D,1.38E-15,0.5609778,PHLDA1,3.09E-33,2.437045,CALM1,2.79E-12,1.1569307
DUSP1,4.82E-20,0.5686662,B2M,2.75E-37,0.19699326,CD48,1.51E-24,0.81555617,MBNL1,1.62E-29,1.3035142,ANKRD28,1.32E-14,1.7673368,PEBP1,2.43E-15,1.3065366,LSP1,1.73E-31,1.5887288,DYNLL1,3.10E-12,1.5624143
TMEM123,1.30E-19,1.0606365,TYMP,3.45E-37,1.5556232,SH2D1A,7.39E-23,1.3960716,REL,2.10E-29,1.6859343,FTL,3.29E-14,0.51627266,ADD3,2.72E-15,2.143332,APOBEC3C,4.31E-31,2.3697824,CD6,3.31E-12,1.8116646
JUN,2.87E-19,0.54091144,SELL,2.65E-33,1.5559682,HLA-F,1.34E-21,0.7934089,IVNS1ABP,2.43E-28,1.9560224,CD3D,6.20E-14,0.4045262,ANP32B,2.97E-15,1.2841681,CLEC2B,2.57E-30,2.0677123,LAPTM5,3.38E-12,1.1657078
MYL12A,1.60E-18,0.34000495,GLRX,7.83E-33,1.3591975,STK17A,7.04E-20,0.8069276,CKS2,3.28E-28,2.100713,SPRY1,1.78E-13,2.557777,UCP2,5.67E-15,1.3157834,ID2,7.49E-30,1.8696839,PLEKHF1,1.32E-11,2.275
FTH1,1.73E-17,0.18911432,CD74,9.67E-33,0.9023252,GZMH,7.74E-20,1.901094,PTTG1,4.04E-28,1.6913517,YBX1,2.27E-13,0.8058949,PIK3IP1,6.31E-15,1.2797061,HCST,8.78E-30,1.4744781,JAML,1.34E-11,1.8563172
PIK3IP1,2.22E-17,0.72585034,PRDM1,3.30E-32,1.1699007,LITAF,4.58E-19,1.3189573,MIS18BP1,1.47E-27,2.0504966,HLA-B,2.30E-13,0.38866967,LAT,6.54E-15,1.3181889,ACP5,4.16E-29,2.5302055,RHOC,1.77E-11,1.6639844
GIMAP7,1.08E-16,0.8389822,IL2RG,1.46E-31,0.8339953,CD27,6.94E-19,0.9065271,MKI67,1.65E-27,4.261957,SH3BGRL3,7.48E-13,0.62522024,RGS10,1.20E-14,1.1969237,HLA-DQB1,3.06E-28,2.360859,CD40LG,1.82E-11,2.0446343
FOSB,2.20E-15,0.80518335,CD79B,1.87E-31,2.2216787,CLDND1,1.14E-18,1.447897,KLF6,3.77E-27,0.97516626,ITM2C,1.18E-12,1.6290921,ELMO1,1.87E-14,2.5578954,IFNG,1.03E-26,2.601471,CTSC,2.55E-11,1.5605358
NBEAL1,9.85E-15,0.7243779,LAYN,1.34E-30,3.0819647,GIMAP1,1.24E-18,1.437232,TYMS,2.67E-26,4.2113066,CYBA,4.90E-12,0.58666074,EEF2,2.15E-14,0.876551,CXCR6,1.21E-26,2.315955,YWHAQ,3.00E-11,1.5638459
RNASET2,4.45E-14,0.9194122,ENO1,3.47E-30,0.81020653,CLEC2B,2.33E-18,1.0405146,FABP5,2.81E-26,1.7560714,CD99,2.17E-11,0.9056333,SLC25A6,2.67E-14,0.8645235,ISG15,4.20E-26,2.05662,CD52,3.09E-11,0.9660938
LTB,9.44E-14,0.6579296,NFKBIA,6.06E-30,0.91147697,SAMD3,2.85E-17,2.2386816,RORA,5.10E-26,1.2522516,XCL1,2.96E-11,3.8798232,CNIH1,5.67E-14,1.7860675,HLA-DMA,9.93E-24,2.3349922,CCL20,3.87E-11,2.3183153
TMA7,1.86E-13,0.19936547,COX17,2.19E-29,1.1175731,ZFP36,1.06E-16,0.704188,DYNLL1,5.41E-26,1.0956706,FCER1G,3.99E-11,4.0095987,MYCBP2,6.63E-14,1.517833,ADGRE5,4.10E-23,1.9539814,CXCR6,4.00E-11,1.9693236
LEPROTL1,1.96E-13,0.5983556,GADD45A,7.95E-29,2.3295863,PYHIN1,1.27E-16,1.3258355,PHLDA1,9.30E-26,1.5523803,KIR2DL4,5.65E-11,4.669189,EIF3L,9.48E-14,1.235335,SIT1,5.60E-23,1.7969462,MYL12B,5.14E-11,1.1327182
FKBP5,1.98E-13,0.8605903,MAGEH1,1.07E-26,2.3981433,TRAT1,6.10E-16,1.2038239,SMC4,1.17E-25,1.7565744,MATK,1.97E-10,2.299747,CD200,1.07E-13,4.268846,CD7,2.47E-22,1.6456568,ANXA5,5.16E-11,1.6804103
GIMAP4,4.06E-13,0.76483226,CUL9,2.00E-26,3.7758036,COTL1,3.15E-15,0.6623806,LRRFIP1,1.34E-25,1.1894443,LSP1,5.11E-10,0.7770724,HINT1,2.14E-13,0.7993774,OASL,6.54E-22,3.1562595,LY6E,1.26E-10,1.4615939
COX4I1,4.67E-13,0.2243316,BTG3,1.36E-24,1.3815644,PLEK,3.21E-15,3.6915953,RANBP1,3.54E-25,1.287874,ITGB7,1.23E-09,1.5394927,SH2D1A,3.44E-13,1.6096559,COTL1,1.13E-21,1.5493283,KRT8,2.01E-10,1.9327551
JCHAIN,1.22E-12,1.1443368,SLAMF1,7.57E-24,1.6706465,CD69,3.21E-14,0.66775227,RASGRP1,3.72E-25,1.5271,CD3E,3.59E-09,0.5674621,GYPC,3.46E-13,1.2281926,CXCR3,1.60E-21,2.1756623,PFN1,2.03E-10,0.72995806
LPAR6,1.31E-12,1.5108207,SH2D2A,1.42E-23,1.3101323,MATK,4.15E-14,2.1458514,SAMSN1,5.80E-25,1.178934,PTGER2,3.98E-09,2.0499005,OXNAD1,1.08E-12,1.571061,CORO1A,2.91E-21,0.98184216,AQP3,2.80E-10,2.0824628
S100A11,3.89E-12,0.3689403,ARPC1B,8.76E-23,0.6704852,DTHD1,5.21E-14,2.4866261,NUSAP1,6.12E-25,3.7686892,SYTL3,5.60E-09,1.3248559,EEF1B2,1.25E-12,0.86046296,CD2,2.99E-21,1.0209359,MT2A,3.87E-10,1.4929467
CITED2,6.21E-12,0.95951045,OAZ1,1.23E-22,0.42718107,LIMD2,9.47E-14,0.63398385,MACF1,6.29E-25,1.571654,CD3G,1.03E-08,0.7045749,NACA,1.61E-12,0.5856161,APOBEC3H,4.46E-21,3.0227315,CFL1,5.32E-10,0.723331
CCR7,7.94E-12,1.4913255,TMSB10,2.02E-22,0.26229286,PTPRC,1.27E-13,0.33798185,TMEM167A,5.37E-24,1.517545,GSTP1,1.29E-08,0.95348006,UBA52,2.03E-12,0.39523458,CALR,6.10E-21,1.5406182,KLRB1,5.45E-10,1.7829957
PLAC8,2.82E-11,1.7936954,NAMPT,2.55E-22,1.634784,ANXA1,1.95E-13,0.8125818,PHGR1,6.04E-24,1.4677236,IFITM2,1.31E-08,0.7898108,NMB,2.50E-12,3.6410263,ACTG1,1.15E-20,0.8243746,C12orf75,8.07E-10,1.7258523
BTF3,4.02E-11,0.16787608,ARL6IP5,2.70E-22,0.7437548,HLA-DPA1,2.37E-13,0.81479454,CENPF,1.27E-23,4.0233746,GAPDH,1.55E-08,0.39607415,TCF7,2.60E-12,1.9306906,CCND2,1.40E-20,1.9678756,SOCS1,1.01E-09,1.6187322
PTGER2,9.82E-11,1.7132248,NABP1,8.81E-22,1.3045738,APMAP,5.31E-13,1.591769,NUCKS1,2.19E-23,1.2188518,RABAC1,2.13E-08,0.92712706,PTPRC,2.82E-12,0.76300955,RABAC1,2.24E-20,1.6059189,ACTG1,1.24E-09,0.77335316
TRAT1,1.67E-10,0.87632275,CD4,9.40E-22,1.4267081,PRF1,5.61E-13,1.1980557,TUBA1B,2.31E-23,1.3919861,CLEC2B,2.13E-08,1.0447227,CD84,8.70E-12,1.6944175,BST2,3.75E-20,1.6082093,REEP5,1.47E-09,1.536709
NPM1,2.49E-10,0.18212256,CREM,1.92E-21,1.032485,TC2N,7.05E-13,1.6101716,PPP1R15A,2.66E-23,1.1729398,SCML4,2.97E-08,1.8428955,SRSF5,1.46E-11,0.9167097,CLIC1,4.99E-20,1.1454475,GRAP2,1.62E-09,1.9120498
EIF4A2,4.10E-10,0.29967165,IKZF2,9.59E-21,3.3659046,PPDPF,8.57E-13,0.3414302,CCDC167,2.82E-23,1.3470082,POLR2L,3.14E-08,0.7067323,TNFRSF4,2.33E-11,1.3607793,ZNF683,8.14E-20,3.6049802,GPR171,6.92E-09,1.5207146
AQP3,4.58E-10,1.2127831,PHLDA1,1.16E-20,1.2174575,F2R,4.97E-12,2.1897538,ZEB2,2.86E-23,2.3375134,OSTF1,4.23E-08,0.9804114,RILPL2,2.74E-11,1.6752944,CTSC,1.23E-19,1.5637004,COMMD8,7.05E-09,1.7936512
PDCD4,7.60E-10,0.7381928,ACP5,1.44E-20,1.4902651,CD44,8.94E-12,0.4887459,HP1BP3,3.62E-23,1.3016009,CHCHD10,6.15E-08,1.2601008,NPM1,3.40E-11,0.70884186,PDCD1,1.41E-19,2.1975064,IFI44,8.37E-09,2.1156216
NOSIP,1.24E-09,0.9535849,CALM3,4.64E-20,0.84901947,EEF1A1,1.50E-11,0.2563756,TPM3,5.58E-23,0.96299547,AOAH,9.00E-08,2.4740357,SFXN1,8.58E-11,1.7907919,C12orf75,2.29E-19,1.7445604,SUSD3,9.95E-09,1.6711025
LAPTM5,1.51E-09,0.23142366,SUMO2,5.13E-20,0.6214487,FYN,1.74E-11,0.7687203,TOP2A,1.31E-22,4.138076,STOM,9.02E-08,1.5439514,EIF3F,1.64E-10,0.93797743,TNIP3,9.78E-19,2.6247008,NFKBIA,1.28E-08,1.2481259
TMSB10,1.53E-09,0.09648494,ENTPD1,1.60E-19,1.1571298,ATM,1.80E-11,1.158559,OSBPL8,3.11E-22,1.5103824,TYROBP,1.41E-07,2.931544,COX7C,1.69E-10,0.5562582,HOPX,3.23E-18,2.085919,GNLY,1.70E-08,2.3021927
EIF1,2.19E-09,0.0886997,HSPA1A,1.81E-19,1.0772089,DENND2D,2.99E-11,1.0825553,EZH2,7.10E-22,2.8420262,GUK1,1.49E-07,0.656322,ETS1,1.83E-10,1.0039905,CLIC3,3.45E-18,2.792151,CTSD,2.46E-08,1.3561062
PTGER4,2.58E-09,1.058911,MAF,2.30E-19,1.1376516,MBP,6.74E-11,1.2213087,CKS1B,9.74E-22,2.5309298,DDIT4,1.50E-07,0.78885055,VOPP1,2.01E-10,1.6379548,BLOC1S1,3.84E-18,1.4657943,PGAM1,2.75E-08,1.3334609
NCF1,4.56E-09,0.86790663,SRGN,2.50E-19,0.4160016,PSME1,1.33E-10,0.31528822,TMPO,1.75E-21,1.6741979,ZNF683,2.12E-07,2.5503356,MTHFD2,2.07E-10,2.0069034,CISH,5.85E-18,2.641999,ARPC3,2.89E-08,1.0301704
C1orf162,4.79E-09,1.9201763,GBP5,2.80E-19,1.58241,HNRNPA1,1.77E-10,0.27532038,DUSP4,2.91E-21,1.3066901,AREG,2.21E-07,2.2274292,CD27,2.08E-10,1.1378467,ITGAE,5.68E-17,1.8882147,LGALS1,2.94E-08,1.4481728
UQCRB,5.20E-09,0.16600564,ISCU,3.59E-19,0.81813747,IER2,2.27E-10,0.6503407,KLRB1,4.21E-21,1.2863237,GABARAPL1,2.93E-07,1.7141486,GPX4,2.26E-10,0.9997864,MX1,5.83E-17,2.2881756,ISG15,3.87E-08,1.3965222
SCML4,6.09E-09,1.3119822,SCAND1,9.04E-19,0.91212845,JUNB,2.73E-10,0.43326962,TMSB4X,5.47E-21,0.2661491,LCK,3.74E-07,0.54064673,ANAPC16,3.55E-10,0.82675606,SLC1A5,1.17E-16,2.8767931,CISH,3.95E-08,2.2429152
SERINC5,6.85E-09,1.6657703,FTH1,4.98E-18,0.3022574,DDX5,3.06E-10,0.24054378,SMC2,7.48E-21,2.6839318,PTPN22,4.22E-07,1.3000323,AKAP13,4.38E-10,1.11854,CFL1,2.54E-16,0.67731225,BST2,4.33E-08,1.3680072
COMMD6,1.33E-08,0.16654226,RHBDD2,7.25E-18,1.4613605,ISG20,2.88E-09,0.494451,MCL1,1.11E-20,1.0237683,CLIC3,4.36E-07,1.9563593,NUDT16,7.26E-10,2.7849116,PLSCR1,2.59E-16,2.6637774,BLOC1S1,4.82E-08,1.3168428
TIMP1,1.45E-08,0.77375233,COX5B,7.42E-18,0.64065033,XCL2,4.44E-09,2.1165817,POMP,2.27E-20,0.9880987,MSH3,4.69E-07,2.2836757,TSHZ2,9.43E-10,2.5166116,PSMB9,2.66E-16,1.2721319,HLA-C,5.46E-08,0.50177705
RASGRP2,2.90E-08,1.800679,FANK1,9.30E-18,4.7861776,CHST12,4.80E-09,1.0146531,ANKRD11,2.45E-20,1.3017273,CTSD,5.62E-07,0.82094723,HNRNPK,9.89E-10,0.81042296,IFI44,1.09E-15,2.1469436,VASP,5.47E-08,1.4099747
