CD8_Caushi_tumor_responder	CD8_Caushi_tumor_Non_responder
DUSP4	SH3BP5
CXCL13	PTPN4
CREM	SAMD9L
SRSF2	CCM2
HLA-DQA1	DDX58
SRGN	NPC2
HLA-DRB1	ELK3
YPEL5	SENP7
SARAF	DENR
CALM2	TMOD3
LITAF	ERGIC2
VPS37B	TRG-AS1
HLA-DPB1	GSTO1
SRRT	SMIM37
TNFRSF1B	ADD3
LEPROTL1	NDUFS6
ATP6V0C	CHMP5
VCAM1	NHP2
PDE4D	ZBTB20
PDCL3	DOCK10
NCL	GIMAP5
AKAP13	ADK
ADGRE5	NECAP2
CEMIP2	LSM7
RANBP2	THEM4
PDCD1	S1PR1
LYST	LSM5
JPT1	FRMD4B
SLC25A3	FKBP2
POLR2A	CD40LG
DDX24	GIMAP6
TNFRSF9	NUTM2B-AS1
ISCA1	TNFRSF25
NAB1	MYO1F
SUB1	TGFBR2
ODC1	FLOT1
ZEB2	XAF1
STMN1	PTGER2
TMX4	SESN1
RAB5IF	NAA38
ETF1	USP3
NUP98	NDUFB3
SERINC1	SASH3
LAPTM4A	CDC14A
HERPUD2	TIMP1
RBM38	C4orf48
METRNL	SAMHD1
PPP1R16B	TMEM123
MORF4L1	CD247
TERF1	TIFA
ALG13	OCIAD2
STAU1	GLIPR2
DDX27	ATP5MD
AAED1	CAST
GALNT11	GPR25
ELP5	NDUFB2
CDK16	ACTR3
DBF4	ARPC5
SIRT2	FLT3LG
RNMT	NDUFA3
ENSA	KANSL1-AS1
ATG2A	GIMAP1
ARIH2	GNG5
TXLNG	NDUFB1
FDX1	DNPH1
MED4	NOP10
GTF3C1	CD83
RNF114	MINOS1
CNBD2	ERN1
KMT5C	ARHGAP15
NDEL1	UBL5
DCTN6	LCP2
HSPA13	PPP1R18
WDR47	ZNF683
ABT1	ATP5F1E
FBXO7	OST4
	TNFAIP8
	GIMAP4
	CKLF
	PSMB9
	GIMAP7
	S100A11
	LTB
	MYL12A
	TXNIP
