Fairfax_response_down_responder	Fairfax_response_up_Non_responder
TRBV13	IL1R2
TRBV25-1	ABCA13
MYOM2	CEACAM6
COL5A1	ELANE
IL17RE	DEFA4
TRBV6-6	BPI
TRBV30	MPO
TRAV23DV6	AZU1
TRBV6-4	CEACAM8
TRAV8-1	ANXA3
TRBV7-2	CD24
TRAV9-2	RNASE3
XCL1	FLT3
ADAM12	MMP8
TRBV6-5	MMP9
RAMP1	MME
TRAV12-2	CYP4F3
FHAD1	SIGLEC1
B3GALT2	CTSG
TRBV5-4	TRBV23-1
IL4I1	EGR1
SLC25A29	LIN7A
TRAV2	LCN2
TRBV6-2	ITGAD
RORC	TCN1
TNFRSF18	MS4A3
GPR25	HP
NOG	S100P
TRAV10	FOLR3
TSPAN15	MSR1
SLC1A7	MTND2P28
HOXB2	PXDN
DGKK	ARG1
TRBV7-6	PGLYRP1
TMEM160	DSC2
IGFBP4	OLFM4
NCS1	RNASE2
TRBV24-1	AC139495.3
BOK	G0S2
TRAV3	ADAM23
CD40LG	RETN
TRAV12-3	VNN1
PLEKHA7	AC245128.3
TRBV5-5	CYP1B1
LGALS9C	KCNJ15
FAM43A	CLEC4D
MATN2	CREB5
PLD4	PTGS2
ADAT3	CDC42BPA
PCSK1N	CRISP3
TRAV8-2	AQP9
SPRY1	MTND4P12
VIPR2	KREMEN1
COL6A1	ADGRG3
ISM1	LTF
TRGV2	ALPL
C2CD4D	CHI3L1
CBR3	MCEMP1
TRAV1-2	SEMA3C
TRAV8-6	CMTM2
AC004057.1	CLEC4E
PODN	CEACAM4
TRBV7-3	MTARC1
ARL2BP	FCGR3B
HIC1	CD163
TRAV13-1	USP32P1
C20orf204	EDN3
TMIGD2	TREM1
C4orf48	GASK1B
DBNDD1	PLBD1
SPATC1L	RNF217
LINC00892	STEAP4
LINC00665	PDK4
HES6	SLC11A1
CD248	TLR2
ZNF837	CAMP
TPPP	FCAR
TRBV27	ASGR2
TBXA2R	MTCO3P12
FADD	WDFY3
HCN2	CRISPLD2
KANK3	HAL
ACTL10	IRAK3
TRAV41	CDA
BLK	MGST1
AVPI1	HBEGF
CERCAM	CXCL8
SYNGR3	CCDC144A
AK5	GCA
AC013264.1	SHTN1
TPGS1	TFEC
MEX3D	FGD4
TRAV4	S100A12
FAM222A	ABCA1
TRAV22	SGMS2
TRAV35	VCAN
CCDC85B	PRRG4
KIFC3	QPCT
COL6A2	MRVI1
MAN1B1-DT	FAM157C
SLC7A5P1	TRBV10-2
TRAV5	TRBV4-1
MTFP1	B3GNT5
CCDC167	LRG1
FSD1	THBD
MMP23B	FBN2
AL645929.1	AL034397.3
VIT	LRRK2
METRNL	VNN3
HSPB1	FPR2
LAMA2	ANPEP
SAC3D1	MBOAT2
RPL4P1	CSF3R
H2AX	CD36
RPL41P1	STAB1
ANKRD9	AC069282.1
NRSN2	GLT1D1
KRTAP5-AS1	TMEM170B
GNLY	ROCK1P1
MGAT2	CEACAM1
TRGV8	DGAT2
RPS26	EGR3
TLE1	AATK
ENDOG	BASP1
GNAZ	NRG1
GNAO1	AC245060.5
COLQ	SIGLEC14
RAB6B	REPS2
LAIR1	TRIB1
WHRN	HGF
AC018521.5	CLEC7A
AGAP1	APOBEC3A
IRF2BP1	FOS
SLC2A8	PADI2
CCDC107	TLR8
ZNF771	LILRA6
RTN4R	PADI4
MISP3	H1-0
TRAV17	JDP2
C12orf42	SLC8A1
KLF2	PYGL
LYNX1	ACP3
GADD45GIP1	MNDA
RPL41P5	ARHGAP24
DNPH1	GRB10
RAB5IF	C5AR1
SNHG9	ANKRD20A11P
UBE2S	FCGR2A
FTH1	TLR4
EBF4	LPCAT2
SCAND1	CR1
TMEM238	FPR1
TRGV10	CHST15
ZNF696	S1PR3
SOX12	THBS1
TRBV9	BCAT1
MED16	NA
ZNHIT2	GNB4
NCR3	TNFRSF11A
RELB	CD302
PLEKHF1	SLC24A4
PTMS	RAB31
LENG9	FOSB
FEZ1	CCDC39
PTGER4	NAMPT
CD79B	VEGFA
SEMA6C	MAFB
EPOP	MICU3
ZFPM1	LOC643802
MRPS34	FAM20A
MRPL41	TCN2
AJM1	SIRPB1
JUND	RBM47
LINC00863	MILR1
ZNF358	MMP25
BORCS6	SLC22A15
IGFBP3	JCHAIN
TSSK6	MBNL1-AS1
GET4	IL1R1
CD8B2	NLRC4
S1PR5	BST1
GCHFR	TRAV19
NA	MARCHF1
ADORA2A	PLXDC2
ZNF579	CD93
PWWP2B	IL1RN
F8A3	NAIP
SPATA2L	PLB1
YDJC	AC027020.2
NR1D1	S100A8
ZIK1	AC114760.2
TRAV8-3	ANKRD50
ZNF665	F5
SPSB1	CLEC12A
DBP	IL18
LINC02580	ANKRD10-IT1
GPA33	TRAV14DV4
LTB	INSR
FAM110A	IL13RA1
CTU1	TNFSF13B
KIF3C	ACSL1
RAB33A	SIRPB2
AC092295.2	KCTD12
TMCC2	SIRPA
TUBB4A	ADORA2B
AC004585.1	Z83843.1
TLNRD1	TRIQK
MRPL12	HDGFL3
ANTKMT	GPR160
EMC6	TMED7
TEF	NA
CA11	SMPDL3A
LINGO3	RASGRP4
DOHH	CPM
B3GALT6	S100A9
REEP6	NFAM1
SLC45A1	PRUNE2
FKBPL	NA
SDHAF1	NAALAD2
MBLAC1	HK3
AC024293.1	ARHGEF40
MATK	MATR3
TRBJ2-4	LRRC4
ZNF628	DYSF
ANKRD37	CD1D
FNDC10	FAM153B
AL135925.1	CYBB
NUDT1	SORT1
MARCKSL1	DUSP6
COMTD1	DOK3
SNTA1	AC025917.1
AC012306.2	UBR5-AS1
FBXL15	GAB1
PRR7	C9orf72
PAGR1	TIMP2
MRPL23	CLMN
GZMM	BEST1
INAFM1	MCTP1
SELENOM	AC092881.1
PPIAP11	GOLGA6L9
LAGE3	TRAV27
S1PR4	PRAM1
ETNK2	AL136981.2
SLC9A3R2	TRIM2
NME2	TPD52
ABHD8	ERMN
AC010247.2	AL139407.1
HS6ST1	MALAT1
RPP25	FMNL2
RPL26L1	NA
EDARADD	AC131649.2
NFATC1	LRP1
C19orf57	SELENOP
MZT2B	LINC01410
MGMT	TRBV2
DLGAP3	AC083799.1
ACOT7	NA
MT2A	AC007342.5
TRIM47	PHACTR1
IFNLR1	LINC00824
CHST7	PRSS21
TRIR	TLR5
ZNF775	AC023510.2
GFER	NA
TSR3	N4BP2L2-IT2
ZNF236-DT	LILRB3
ZSCAN21	NCF4
LRFN3	AC008555.7
ITM2C	HECW2-AS1
DRAP1	LNX1
LRFN1	AL031670.1
ALKBH7	KCNIP4
CAPN5	AL050343.2
B3GALT4	TPST1
LTBP4	AC015871.1
LENG1	PLIN4
TEDC1	CALM2P2
ACOT2	A2M
CCDC96	ABCG2
UBASH3A	LY96
IL2RB	AC138393.1
DHRS13	SYCP2
STUB1	AL390728.6
NPTXR	AC113191.1
TMEM102	SBSPON
PRAG1	PWAR5
TLE2	ARRDC4
ZNF790-AS1	AC012557.1
NAGS	LRRC7
HLA-DOA	TRAV38-2DV8
TRAIP	NFKBIZ
ZNF668	HOMER3
TGFB1	AC007390.2
ORAI1	NA
ATP10A	DMXL2
MTHFS	PKD1P5
DYRK1B	ARL11
RHOF	AC125257.1
C1orf122	KCTD3
CRIP1	EVI5
MRPL10	INKA2
THOC3	ALG10B
ZNF469	PAPSS2
MCAT	OSMR
MPST	AC022893.1
CBX3P9	DSEL
TRBC1	AP000766.1
CTSF	AC055748.1
RPL39L	GPM6B
FOXD2	B3GAT2
RNF126	A2M-AS1
AL355001.2	ALPK1
P3H4	CLTCL1
