blood_luoma_cl1_GMZK_CD8	blood_luoma_cl2_GZMB_CD8	blood_luoma_cl3_CCR7_CD8	blood_luoma_cl4_FGFBP2_CD8	blood_luoma_cl5_IL7R_CD8	blood_luoma_cl6_CD38_CD8	blood_luoma_cl7_DN_Tcels	blood_luoma_cl8_LTB_CD8	blood_luoma_cl9_KLRB1_CD8
GZMK	TYROBP	CCR7	FGFBP2	LTB	TYMS	TRBV7-6	CAPG	TRBV6-6
DUSP2	KLRC2	LINC02446	ZNF683	IL7R	HLA-DRA	B2M	CRIP2	TRAV29DV5
CD74	FCGR3A	LEF1	GZMB	EEF1A1	RRM2	RPS26	TNFRSF4	KIR3DL1
CMC1	GNLY	NOSIP	GZMH	RPS12	PCLAF	TRGV10	FXYD7	TRGV3
ZFP36L2	KLRF1	TCF7	LGALS1	NELL2	FABP5	GNLY	LTB	KLRB1
JUNB	GZMB	LTB	GNLY	RPL32	CD38	GZMH	PLP2	KIR2DL1
EOMES	GZMH	ACTN1	SPON2	RCAN3	MKI67	MT-CO1	FXYD5	TRBV21-1
LYAR	NKG7	MAL	PRSS23	ITM2C	CENPM	CST7	CD82	TRGV2
GZMA	PRF1	AIF1	ITGB1	LDHB	SMC4	S100A4	IL7R	HLA-B
IL7R	KLRC3	PRKCQ-AS1	S100A4	RPS8	CDCA7	CMC1	VIM	CCL3
CXCR4	CST7	ARMH1	NKG7	AQP3	CDT1	NKG7	GATA3	CMC1
COTL1	ADGRG1	MYC	ADGRG1	RPL39	CKS2	SH3BGRL3	NOSIP	FCGR3A
CD69	TTC38	LDHB	CD52	RPL13	CEBPD	CD99	C1orf162	TYROBP
FYN	KLRD1	GAS5	ASCL2	TPT1	EZH2	CCL5	TNFSF10	XCL2
SH2D1A	CTSW	SNHG29	S100A6	RPLP1	MYL6B	S100A10	MAL	CST7
BTG1	IFITM2	SELL	SH3BGRL3	PABPC1	LMNB1	PLEK	LDHB	KLRG1
DNAJB1	SRGN	EEF1B2	B2M	RPLP0	GAPDH	GZMB	RPL36	KLRC4
IL10RA	CYBA	RPS5	PRF1	RPS5	ACOT7	GZMA	RPL18A	KLRD1
