tumor_luoma_cl1_KLF2_CD8	tumor_luoma_cl2_GMZK_CD8	tumor_luoma_cl3_ITGAE_CD8	tumor_luoma_cl4_CYCLING_CD8	tumor_luoma_cl5_IL7R_CD8	tumor_luoma_cl6_ISG_CD8	tumor_luoma_cl7_CD3D_NK
TNFSF9	GZMK	CXCL13	STMN1	IL7R	IFIT1	TYROBP
KLF2	ITM2C	GNLY	TUBA1B	LTB	IFIT3	FCER1G
FOSB	CST7	ENTPD1	TYMS	TPT1	IFI6	SH2D1B
GZMK	CXCR3	GZMB	TUBB	ZFP36L2	CMPK2	TRDC
FOS	GIMAP4	CCL3	RRM2	TIMP1	MX1	FCGR3A
DUSP2	NKG7	LINC02446	PCLAF	FTH1	RSAD2	KLRF1
JUNB	GZMH	ACP5	HMGB2	ANXA1	OAS1	FGR
TAGAP	DENND2D	LINC01871	HMGN2	RPL32	IFITM1	LAT2
CXCR4	CLDND1	PHLDA1	MKI67	S100A10	ISG15	PLAC8
DUSP1	EOMES	ALOX5AP	H2AFZ	TOB1	MX2	HOPX
KLRG1	GIMAP7	HAVCR2	UBE2C	CD55	LY6E	CD300A
DNAJB1	LIME1	KLRC2	DUT	PABPC1	IFI44L	NCR1
ZFP36	APOBEC3G	RBPJ	MCM7	RPS3A	IFIT2	AREG
CST7	ITGB2	CTLA4	NUSAP1	ZNF683	ISG20	TXK
SARAF	CD27	TNFRSF18	PCNA	LSR	HERC5	MATK
EIF1	PLEK	HLA-DRA	TK1	FOS	IRF7	KIR2DL4
RPL3	GIMAP5	KLRD1	TOP2A	PTGER4	OAS3	GNLY
RPS25	TC2N	CSF1	HMGB1	JUNB	EIF2AK2	KLRD1
RPS3	HMGA1	KIR2DL4	CENPF	FXYD5	TRIM22	KLRC2
RPS27	NFATC2	SOX4	MCM5	S100A4	XAF1	TMIGD2
RPS14	KDSR	CD7	CDT1	ZFP36	STAT1	KRT86
CCL4	GZMM	ITGAE	ASF1B	IFITM3	PLSCR1	IFITM2
CMC1	LINC00861	KLRC1	ZWINT	NFKBIA	IFI35	ADGRG1
NR4A2	PPP1R14B	LAG3	SMC4	XCL1	OASL	KLRC1
BTG1	LAT	LINC02195	CLSPN	SLC2A3	IFI44	SLC16A3
DKK3	GLIPR2	KLRB1	TPI1	HOPX	SAMD9L	CTSW
TNF	EMP3	GEM	CKS1B	DUSP1	USP18	TNFRSF18
