,gene_ids
4732440D04Rik,ENSMUSG00000090031
Il17a,ENSMUSG00000025929
Mcm3,ENSMUSG00000041859
Khdc1a,ENSMUSG00000067750
Ptp4a1,ENSMUSG00000026064
Dst,ENSMUSG00000026131
Neurl3,ENSMUSG00000047180
Fam178b,ENSMUSG00000046337
Zap70,ENSMUSG00000026117
Gm15832,ENSMUSG00000085894
Map4k4,ENSMUSG00000026074
Il1r2,ENSMUSG00000026073
Il1rl1,ENSMUSG00000026069
Il18r1,ENSMUSG00000026070
Il18rap,ENSMUSG00000026068
Fhl2,ENSMUSG00000008136
Gm8251,ENSMUSG00000091844
Slc40a1,ENSMUSG00000025993
Nabp1,ENSMUSG00000026107
Gm17767,ENSMUSG00000099413
Stat4,ENSMUSG00000062939
Mfsd6,ENSMUSG00000041439
Pgap1,ENSMUSG00000073678
Hspd1,ENSMUSG00000025980
Sgo2a,ENSMUSG00000026039
Cd28,ENSMUSG00000026012
Ctla4,ENSMUSG00000026011
Icos,ENSMUSG00000026009
Klf7,ENSMUSG00000025959
2810408I11Rik,ENSMUSG00000087213
Ikzf2,ENSMUSG00000025997
Gm28112,ENSMUSG00000099954
Fn1,ENSMUSG00000026193
Mreg,ENSMUSG00000039395
Cxcr2,ENSMUSG00000026180
Cxcr1,ENSMUSG00000048480
Catip,ENSMUSG00000073650
Glb1l,ENSMUSG00000026200
Serpine2,ENSMUSG00000026249
Pid1,ENSMUSG00000045658
Gpr55,ENSMUSG00000049608
Sag,ENSMUSG00000056055
Hjurp,ENSMUSG00000044783
Rbm44,ENSMUSG00000070732
Ramp1,ENSMUSG00000034353
Gpc1,ENSMUSG00000034220
Pdcd1,ENSMUSG00000026285
St8sia4,ENSMUSG00000040710
Bcl2,ENSMUSG00000057329
Serpinb2,ENSMUSG00000062345
2900060B14Rik,ENSMUSG00000107722
Mcm6,ENSMUSG00000026355
Cd55,ENSMUSG00000026399
Fcmr,ENSMUSG00000042474
Il10,ENSMUSG00000016529
Slc41a1,ENSMUSG00000013275
Nucks1,ENSMUSG00000026434
Plekha6,ENSMUSG00000041757
Lax1,ENSMUSG00000051998
Chil1,ENSMUSG00000064246
Ube2t,ENSMUSG00000026429
Ptpn7,ENSMUSG00000031506
Csrp1,ENSMUSG00000026421
Phlda3,ENSMUSG00000041801
Cacna1s,ENSMUSG00000026407
Gm19705,ENSMUSG00000097113
Gm4258,ENSMUSG00000098243
Aspm,ENSMUSG00000033952
Ptgs2os,ENSMUSG00000097028
Ptgs2,ENSMUSG00000032487
Ptgs2os2,ENSMUSG00000097754
1700025G04Rik,ENSMUSG00000032666
Rgl1,ENSMUSG00000026482
Lamc1,ENSMUSG00000026478
E330020D12Rik,ENSMUSG00000073538
Dhx9,ENSMUSG00000042699
C230024C17Rik,ENSMUSG00000100334
Rgs16,ENSMUSG00000026475
Rnasel,ENSMUSG00000066800
Gm9530,ENSMUSG00000096950
Ralgps2,ENSMUSG00000026594
4930523C07Rik,ENSMUSG00000090394
Rabgap1l,ENSMUSG00000026721
Tnfsf4,ENSMUSG00000026700
Fasl,ENSMUSG00000000817
Suco,ENSMUSG00000040297
Selp,ENSMUSG00000026580
Atp1b1,ENSMUSG00000026576
Xcl1,ENSMUSG00000026573
Tiprl,ENSMUSG00000040843
Rcsd1,ENSMUSG00000040723
Gm16565,ENSMUSG00000089829
Cd247,ENSMUSG00000005763
Uap1,ENSMUSG00000026670
Fcrla,ENSMUSG00000038421
Fcgr4,ENSMUSG00000059089
B930036N10Rik,ENSMUSG00000091993
Slamf7,ENSMUSG00000038179
Slamf1,ENSMUSG00000015316
Slamf6,ENSMUSG00000015314
Slamf9,ENSMUSG00000026548
Ifi214,ENSMUSG00000070501
Zbtb18,ENSMUSG00000063659
B230369F24Rik,ENSMUSG00000086350
Lefty1,ENSMUSG00000038793
Enah,ENSMUSG00000022995
Dusp10,ENSMUSG00000039384
Gm37800,ENSMUSG00000103308
Eprs,ENSMUSG00000026615
Cenpf,ENSMUSG00000026605
Fam71a,ENSMUSG00000091017
Atf3,ENSMUSG00000026628
Gm37168,ENSMUSG00000103174
Dtl,ENSMUSG00000037474
Lamb3,ENSMUSG00000026639
Hsd11b1,ENSMUSG00000016194
G0s2,ENSMUSG00000009633
Meig1,ENSMUSG00000026650
Fam107b,ENSMUSG00000026655
Mcm10,ENSMUSG00000026669
Optn,ENSMUSG00000026672
Echdc3,ENSMUSG00000039063
Gm13391,ENSMUSG00000086109
Gata3,ENSMUSG00000015619
Prkcq,ENSMUSG00000026778
Gm10851,ENSMUSG00000102329
Il2ra,ENSMUSG00000026770
Mrc1,ENSMUSG00000026712
Nebl,ENSMUSG00000053702
Msrb2,ENSMUSG00000023094
Thnsl1,ENSMUSG00000048550
Hnmt,ENSMUSG00000026986
Il1f9,ENSMUSG00000044103
Il1rn,ENSMUSG00000026981
Pnpla7,ENSMUSG00000036833
Nrarp,ENSMUSG00000078202
Bmyc,ENSMUSG00000049086
Gpsm1,ENSMUSG00000026930
Lcn4,ENSMUSG00000026919
Gm10134,ENSMUSG00000063611
Ier5l,ENSMUSG00000089762
Qrfp,ENSMUSG00000043102
Lcn2,ENSMUSG00000026822
Fam102a,ENSMUSG00000039157
Sh2d3c,ENSMUSG00000059013
Traf1,ENSMUSG00000026875
Nek6,ENSMUSG00000026749
Rnd3,ENSMUSG00000017144
Tnfaip6,ENSMUSG00000053475
Neb,ENSMUSG00000026950
Arl5a,ENSMUSG00000036093
Fmnl2,ENSMUSG00000036053
Nr4a2,ENSMUSG00000026826
Gm13546,ENSMUSG00000086862
Ccdc148,ENSMUSG00000036641
Dapl1,ENSMUSG00000026989
Ly75,ENSMUSG00000026980
Fap,ENSMUSG00000000392
Spc25,ENSMUSG00000005233
Dhrs9,ENSMUSG00000027068
Fastkd1,ENSMUSG00000027086
Pdk1,ENSMUSG00000006494
Cdca7,ENSMUSG00000055612
Gpr155,ENSMUSG00000041762
Ttn,ENSMUSG00000051747
Itga4,ENSMUSG00000027009
Itgav,ENSMUSG00000027087
Rapsn,ENSMUSG00000002104
Nr1h3,ENSMUSG00000002108
Mdk,ENSMUSG00000027239
Cd82,ENSMUSG00000027215
Gm10800,ENSMUSG00000075014
Ccdc34,ENSMUSG00000027160
Rasgrp1,ENSMUSG00000027347
Thbs1,ENSMUSG00000040152
Knl1,ENSMUSG00000027326
Rad51,ENSMUSG00000027323
Chac1,ENSMUSG00000027313
Nusap1,ENSMUSG00000027306
Ubr1,ENSMUSG00000027272
Ppip5k1,ENSMUSG00000033526
Wdr76,ENSMUSG00000027242
Frmd5,ENSMUSG00000027238
Trim69,ENSMUSG00000033368
Slc28a2,ENSMUSG00000027219
Gatm,ENSMUSG00000027199
AA467197,ENSMUSG00000033213
Sema6d,ENSMUSG00000027200
Dut,ENSMUSG00000027203
Hdc,ENSMUSG00000027360
Dusp2,ENSMUSG00000027368
Bub1,ENSMUSG00000027379
Gm14010,ENSMUSG00000079053
Zc3h8,ENSMUSG00000027387
Zc3h6,ENSMUSG00000042851
Polr1b,ENSMUSG00000027395
Gm14029,ENSMUSG00000086652
Slc20a1,ENSMUSG00000027397
Il1a,ENSMUSG00000027399
Il1bos,ENSMUSG00000074805
Cdc25b,ENSMUSG00000027330
Smox,ENSMUSG00000027333
Prnp,ENSMUSG00000079037
AU019990,ENSMUSG00000074783
Tmx4,ENSMUSG00000034723
Plcb4,ENSMUSG00000039943
Jag1,ENSMUSG00000027276
Flrt3,ENSMUSG00000051379
Thbd,ENSMUSG00000074743
Cd93,ENSMUSG00000027435
Cst7,ENSMUSG00000068129
Acss1,ENSMUSG00000027452
Gins1,ENSMUSG00000027454
Sdcbp2,ENSMUSG00000027456
Fam110a,ENSMUSG00000027459
Trib3,ENSMUSG00000032715
Mcts2,ENSMUSG00000042814
Id1,ENSMUSG00000042745
Bcl2l1,ENSMUSG00000007659
Tpx2,ENSMUSG00000027469
Procr,ENSMUSG00000027611
Tgm2,ENSMUSG00000037820
Ppp1r16b,ENSMUSG00000037754
