C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD8_HAVCR2_nam,C1_CD8_HAVCR2_pva,C1_CD8_HAVCR2_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C4_CD4_CCR7_nam,C4_CD4_CCR7_pva,C4_CD4_CCR7_log,C5_CD8_GZMK_nam,C5_CD8_GZMK_pva,C5_CD8_GZMK_log,C6_CD8_ZNF683_nam,C6_CD8_ZNF683_pva,C6_CD8_ZNF683_log,C7_CD8_ZNF683_nam,C7_CD8_ZNF683_pva,C7_CD8_ZNF683_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
LTB,2.21E-145,3.0127287,CCL5,1.17E-35,1.3316075,GZMK,3.99E-133,3.562924,IL7R,1.07E-88,2.9101546,HBB,6.23E-139,6.360486,CD7,1.33E-58,2.3251274,NKG7,2.58E-157,4.432092,SPP1,4.60E-114,6.50826,TUBA1B,1.83E-46,4.380494
EEF1A1,2.10E-136,2.4127896,EEF1A1,1.98E-22,1.2532043,CCL5,1.18E-84,2.1472044,JUNB,8.27E-68,1.937287,HBA2,4.76E-111,5.356197,GZMB,3.18E-48,3.1066084,GZMB,1.44E-126,5.023656,S100A9,3.34E-91,5.5276957,STMN1,2.42E-42,5.2735505
TPT1,7.38E-111,0.9485927,CD8A,1.05E-21,1.3832897,CCL4,3.84E-77,2.8541381,FOS,4.50E-55,2.0996215,HBA1,1.33E-69,4.533439,CD8A,1.95E-40,2.4689515,GNLY,2.57E-125,6.744188,SLPI,7.31E-82,4.3287964,TUBB,1.34E-41,4.0740232
S100A4,1.07E-37,0.9806086,NKG7,1.13E-15,1.1250274,CST7,3.68E-50,1.8712938,TSC22D3,4.37E-54,1.5246066,COL1A2,1.04E-58,3.7908325,CD8B,1.98E-39,2.5962229,PRF1,6.58E-117,4.3656783,FTL,2.03E-71,1.4834403,HMGB2,7.66E-34,3.6068037
CD52,6.60E-30,0.83880866,CD8B,5.59E-13,1.1929141,CXCR4,2.33E-48,1.2418612,SRGN,2.44E-50,1.2937639,COL1A1,7.22E-56,3.6603527,KLRC1,1.15E-28,4.295629,KLRD1,2.83E-102,4.1652594,S100A8,9.65E-70,5.4448643,GAPDH,9.61E-34,1.9285586
IL7R,5.59E-25,1.2757536,CCL4,8.50E-11,1.0497351,KLRD1,2.27E-41,2.2570274,SARAF,1.24E-49,1.5127699,COL3A1,2.98E-54,3.8303478,HOPX,1.42E-28,2.2250156,FGFBP2,3.97E-83,7.885861,NBEAL1,8.51E-55,3.126185,TYMS,9.59E-25,6.8809767
EEF1B2,3.80E-22,0.8153203,GZMK,1.90E-08,0.794661,SRGN,1.58E-40,1.1536975,ANXA1,1.41E-48,1.9732271,FTL,8.93E-45,1.0249783,TMSB4X,8.51E-25,0.42091763,FCGR3A,3.76E-75,5.7614336,IFITM1,3.29E-47,3.1031399,MKI67,9.28E-23,7.334825
KLRB1,1.78E-21,1.3819436,HMGN2,5.67E-08,0.9544231,NKG7,3.75E-38,1.9818407,ZFP36,2.23E-46,1.787714,CXCR4,1.78E-30,1.0285071,CCL5,4.02E-22,1.6484671,TYROBP,4.83E-73,4.2786655,IL32,2.02E-45,1.5965992,ACTG1,1.48E-22,1.7884063
BIRC3,1.61E-17,1.4250408,ITM2C,5.76E-08,1.198854,CTSW,2.77E-36,1.6706047,CXCR4,2.32E-32,1.0934676,SPARC,7.32E-29,3.1730084,XCL1,8.39E-22,2.4368403,KLRF1,8.57E-73,6.909429,TIMP1,8.57E-45,2.72746,CKS1B,3.50E-22,4.455546
SH3BGRL3,6.02E-17,0.5174597,APOBEC3G,6.98E-08,0.85553086,ZFP36,2.91E-36,1.468961,LEPROTL1,2.22E-31,1.6491069,MT2A,2.81E-27,1.422925,ZNF683,2.97E-19,2.7675326,CST7,5.32E-61,2.4672463,C1QB,6.75E-42,3.6796367,SMC2,3.98E-22,4.7854433
